accessible_bidding_strategy.id,INT64
accessible_bidding_strategy.maximize_conversion_value.target_roas,DOUBLE
accessible_bidding_strategy.maximize_conversions.target_cpa_micros,INT64
accessible_bidding_strategy.name,STRING
accessible_bidding_strategy.owner_customer_id,INT64
accessible_bidding_strategy.owner_descriptive_name,STRING
accessible_bidding_strategy.resource_name,RESOURCE_NAME
accessible_bidding_strategy.target_cpa.target_cpa_micros,INT64
accessible_bidding_strategy.target_impression_share.cpc_bid_ceiling_micros,INT64
accessible_bidding_strategy.target_impression_share.location,ENUM
accessible_bidding_strategy.target_impression_share.location_fraction_micros,INT64
accessible_bidding_strategy.target_roas.target_roas,DOUBLE
accessible_bidding_strategy.target_spend.cpc_bid_ceiling_micros,INT64
accessible_bidding_strategy.target_spend.target_spend_micros,INT64
accessible_bidding_strategy.type,ENUM
account_budget.adjusted_spending_limit_micros,INT64
account_budget.adjusted_spending_limit_type,ENUM
account_budget.amount_served_micros,INT64
account_budget.approved_end_date_time,DATE
account_budget.approved_end_time_type,ENUM
account_budget.approved_spending_limit_micros,INT64
account_budget.approved_spending_limit_type,ENUM
account_budget.approved_start_date_time,DATE
account_budget.billing_setup,RESOURCE_NAME
account_budget.id,INT64
account_budget.name,STRING
account_budget.notes,STRING
account_budget.pending_proposal.account_budget_proposal,RESOURCE_NAME
account_budget.pending_proposal.creation_date_time,DATE
account_budget.pending_proposal.end_date_time,DATE
account_budget.pending_proposal.end_time_type,ENUM
account_budget.pending_proposal.name,STRING
account_budget.pending_proposal.notes,STRING
account_budget.pending_proposal.proposal_type,ENUM
account_budget.pending_proposal.purchase_order_number,STRING
account_budget.pending_proposal.spending_limit_micros,INT64
account_budget.pending_proposal.spending_limit_type,ENUM
account_budget.pending_proposal.start_date_time,DATE
account_budget.proposed_end_date_time,DATE
account_budget.proposed_end_time_type,ENUM
account_budget.proposed_spending_limit_micros,INT64
account_budget.proposed_spending_limit_type,ENUM
account_budget.proposed_start_date_time,DATE
account_budget.purchase_order_number,STRING
account_budget.resource_name,RESOURCE_NAME
account_budget.status,ENUM
account_budget.total_adjustments_micros,INT64
account_budget_proposal.account_budget,RESOURCE_NAME
account_budget_proposal.approval_date_time,DATE
account_budget_proposal.approved_end_date_time,DATE
account_budget_proposal.approved_end_time_type,ENUM
account_budget_proposal.approved_spending_limit_micros,INT64
account_budget_proposal.approved_spending_limit_type,ENUM
account_budget_proposal.approved_start_date_time,DATE
account_budget_proposal.billing_setup,RESOURCE_NAME
account_budget_proposal.creation_date_time,DATE
account_budget_proposal.id,INT64
account_budget_proposal.proposal_type,ENUM
account_budget_proposal.proposed_end_date_time,DATE
account_budget_proposal.proposed_end_time_type,ENUM
account_budget_proposal.proposed_name,STRING
account_budget_proposal.proposed_notes,STRING
account_budget_proposal.proposed_purchase_order_number,STRING
account_budget_proposal.proposed_spending_limit_micros,INT64
account_budget_proposal.proposed_spending_limit_type,ENUM
account_budget_proposal.proposed_start_date_time,DATE
account_budget_proposal.resource_name,RESOURCE_NAME
account_budget_proposal.status,ENUM
account_link.account_link_id,INT64
account_link.advertising_partner.customer,RESOURCE_NAME
account_link.data_partner.data_partner_id,INT64
account_link.google_ads.customer,RESOURCE_NAME
account_link.hotel_center.hotel_center_id,INT64
account_link.resource_name,RESOURCE_NAME
account_link.status,ENUM
account_link.third_party_app_analytics.app_analytics_provider_id,INT64
account_link.third_party_app_analytics.app_id,STRING
account_link.third_party_app_analytics.app_vendor,ENUM
account_link.type,ENUM
ad_group.ad_rotation_mode,ENUM
