Id,Name,Type,DataType
ga:viewId,View Id,dimension,string
ga:viewName,View Name,dimension,string
ga:webPropertyId,Web Property Id,dimension,string
ga:webPropertyName,Web Property Name,dimension,string
ga:accountId,Account Id,dimension,string
ga:accountName,Account Name,dimension,string
ga:userType,User Type,dimension,string
ga:sessionCount,Count of Sessions,dimension,string
ga:daysSinceLastSession,Days Since Last Session,dimension,string
ga:userDefinedValue,User Defined Value,dimension,string
ga:userBucket,User Bucket,dimension,string
ga:users,Users,metric,integer
ga:newUsers,New Users,metric,integer
ga:percentNewSessions,% New Sessions,metric,percent
ga:1dayUsers,1 Day Active Users,metric,integer
ga:7dayUsers,7 Day Active Users,metric,integer
ga:14dayUsers,14 Day Active Users,metric,integer
ga:28dayUsers,28 Day Active Users,metric,integer
ga:30dayUsers,30 Day Active Users,metric,integer
ga:sessionDurationBucket,Session Duration,dimension,string
ga:sessions,Sessions,metric,integer
ga:bounces,Bounces,metric,integer
ga:bounceRate,Bounce Rate,metric,percent
ga:sessionDuration,Session Duration,metric,time
ga:avgSessionDuration,Avg. Session Duration,metric,time
ga:referralPath,Referral Path,dimension,string
ga:fullReferrer,Full Referrer,dimension,string
ga:campaign,Campaign,dimension,string
ga:source,Source,dimension,string
ga:medium,Medium,dimension,string
ga:sourceMedium,Source / Medium,dimension,string
ga:keyword,Keyword,dimension,string
ga:adContent,Ad Content,dimension,string
ga:socialNetwork,Social Network,dimension,string
ga:hasSocialSourceReferral,Social Source Referral,dimension,string
ga:organicSearches,Organic Searches,metric,integer
ga:adGroup,Google Ads: Ad Group,dimension,string
ga:adSlot,Google Ads: Ad Slot,dimension,string
ga:adDistributionNetwork,Ad Distribution Network,dimension,string
ga:adMatchType,Query Match Type,dimension,string
ga:adKeywordMatchType,Keyword Match Type,dimension,string
ga:adMatchedQuery,Search Query,dimension,string
ga:adPlacementDomain,Placement Domain,dimension,string
ga:adPlacementUrl,Placement URL,dimension,string
ga:adFormat,Ad Format,dimension,string
ga:adTargetingType,Targeting Type,dimension,string
ga:adTargetingOption,Placement Type,dimension,string
ga:adDisplayUrl,Display URL,dimension,string
ga:adDestinationUrl,Destination URL,dimension,string
ga:adwordsCustomerID,Google Ads Customer ID,dimension,string
ga:adwordsCampaignID,Google Ads Campaign ID,dimension,string
ga:adwordsAdGroupID,Google Ads Ad Group ID,dimension,string
ga:adwordsCreativeID,Google Ads Creative ID,dimension,string
ga:adwordsCriteriaID,Google Ads Criteria ID,dimension,string
ga:impressions,Impressions,metric,integer
ga:adClicks,Clicks,metric,integer
ga:adCost,Cost,metric,currency
ga:CPM,CPM,metric,currency
ga:CPC,CPC,metric,currency
ga:CTR,CTR,metric,percent
ga:costPerTransaction,Cost per Transaction,metric,currency
ga:costPerGoalConversion,Cost per Goal Conversion,metric,currency
ga:costPerConversion,Cost per Conversion,metric,currency
ga:RPC,RPC,metric,currency
ga:ROAS,ROAS,metric,percent
ga:adQueryWordCount,Query Word Count,dimension,string
ga:goalCompletionLocation,Goal Completion Location,dimension,string
ga:goalPreviousStep1,Goal Previous Step – 1,dimension,string
ga:goalPreviousStep2,Goal Previous Step – 2,dimension,string
ga:goalPreviousStep3,Goal Previous Step – 3,dimension,string
ga:goalStartsAll,Goal Starts,metric,integer
ga:goalCompletionsAll,Goal Completions,metric,integer
ga:goalValueAll,Goal Value,metric,currency
ga:goalValuePerSession,Per Session Goal Value,metric,currency
ga:goalConversionRateAll,Goal Conversion Rate,metric,percent
ga:goalAbandonsAll,Abandoned Funnels,metric,integer
ga:goalAbandonRateAll,Total Abandonment Rate,metric,percent
ga:browser,Browser,dimension,string
ga:browserVersion,Browser Version,dimension,string
ga:operatingSystem,Operating System,dimension,string
ga:operatingSystemVersion,Operating System Version,dimension,string
ga:mobileDeviceBranding,Mobile Device Branding,dimension,string
ga:mobileDeviceModel,Mobile Device Model,dimension,string
ga:mobileInputSelector,Mobile Input Selector,dimension,string
ga:mobileDeviceInfo,Mobile Device Info,dimension,string
ga:mobileDeviceMarketingName,Mobile Device Marketing Name,dimension,string
ga:deviceCategory,Device Category,dimension,string
ga:continent,Continent,dimension,string
ga:subContinent,Sub Continent,dimension,string
ga:country,Country,dimension,string
ga:region,Region,dimension,string
ga:metro,Metro,dimension,string
ga:city,City,dimension,string
ga:latitude,Latitude,dimension,string
ga:longitude,Longitude,dimension,string
ga:networkDomain,Network Domain,dimension,string
ga:networkLocation,Service Provider,dimension,string
ga:flashVersion,Flash Version,dimension,string
ga:javaEnabled,Java Support,dimension,string
ga:language,Language,dimension,string
ga:screenColors,Screen Colors,dimension,string
ga:sourcePropertyDisplayName,Source Property Display Name,dimension,string
ga:sourcePropertyTrackingId,Source Property Tracking ID,dimension,string
ga:screenResolution,Screen Resolution,dimension,string
ga:hostname,Hostname,dimension,string
ga:pagePath,Page,dimension,string
ga:pagePathLevel1,Page path level 1,dimension,string
ga:pagePathLevel2,Page path level 2,dimension,string
ga:pagePathLevel3,Page path level 3,dimension,string
ga:pagePathLevel4,Page path level 4,dimension,string
ga:pageTitle,Page Title,dimension,string
ga:landingPagePath,Landing Page,dimension,string
ga:secondPagePath,Second Page,dimension,string
ga:exitPagePath,Exit Page,dimension,string
ga:previousPagePath,Previous Page Path,dimension,string
ga:pageDepth,Page Depth,dimension,string
ga:pageValue,Page Value,metric,currency
ga:entrances,Entrances,metric,integer
ga:entranceRate,Entrances / Pageviews,metric,percent
ga:pageviews,Pageviews,metric,integer
ga:pageviewsPerSession,Pages / Session,metric,float
ga:uniquePageviews,Unique Pageviews,metric,integer
ga:timeOnPage,Time on Page,metric,time
ga:avgTimeOnPage,Avg. Time on Page,metric,time
ga:exits,Exits,metric,integer
ga:exitRate,% Exit,metric,percent
ga:searchUsed,Site Search Status,dimension,string
ga:searchKeyword,Search Term,dimension,string
ga:searchKeywordRefinement,Refined Keyword,dimension,string
ga:searchCategory,Site Search Category,dimension,string
ga:searchStartPage,Start Page,dimension,string
ga:searchDestinationPage,Destination Page,dimension,string
ga:searchAfterDestinationPage,Search Destination Page,dimension,string
ga:searchResultViews,Results Pageviews,metric,integer
ga:searchUniques,Total Unique Searches,metric,integer
ga:avgSearchResultViews,Results Pageviews / Search,metric,float
ga:searchSessions,Sessions with Search,metric,integer
ga:percentSessionsWithSearch,% Sessions with Search,metric,percent
ga:searchDepth,Search Depth,metric,integer
ga:avgSearchDepth,Avg. Search Depth,metric,float
ga:searchRefinements,Search Refinements,metric,integer
ga:percentSearchRefinements,% Search Refinements,metric,percent
ga:searchDuration,Time after Search,metric,time
ga:avgSearchDuration,Time after Search,metric,time
ga:searchExits,Search Exits,metric,integer
ga:searchExitRate,% Search Exits,metric,percent
ga:searchGoalConversionRateAll,Site Search Goal Conversion Rate,metric,percent
ga:goalValueAllPerSearch,Per Search Goal Value,metric,currency
ga:pageLoadTime,Page Load Time (ms),metric,integer
ga:pageLoadSample,Page Load Sample,metric,integer
ga:avgPageLoadTime,Avg. Page Load Time (sec),metric,float
ga:domainLookupTime,Domain Lookup Time (ms),metric,integer
ga:avgDomainLookupTime,Avg. Domain Lookup Time (sec),metric,float
ga:pageDownloadTime,Page Download Time (ms),metric,integer
ga:avgPageDownloadTime,Avg. Page Download Time (sec),metric,float
ga:redirectionTime,Redirection Time (ms),metric,integer
ga:avgRedirectionTime,Avg. Redirection Time (sec),metric,float
ga:serverConnectionTime,Server Connection Time (ms),metric,integer
ga:avgServerConnectionTime,Avg. Server Connection Time (sec),metric,float
ga:serverResponseTime,Server Response Time (ms),metric,integer
ga:avgServerResponseTime,Avg. Server Response Time (sec),metric,float
ga:speedMetricsSample,Speed Metrics Sample,metric,integer
ga:domInteractiveTime,Document Interactive Time (ms),metric,integer
ga:avgDomInteractiveTime,Avg. Document Interactive Time (sec),metric,float
ga:domContentLoadedTime,Document Content Loaded Time (ms),metric,integer
ga:avgDomContentLoadedTime,Avg. Document Content Loaded Time (sec),metric,float
ga:domLatencyMetricsSample,DOM Latency Metrics Sample,metric,integer
ga:appInstallerId,App Installer ID,dimension,string
ga:appVersion,App Version,dimension,string
ga:appName,App Name,dimension,string
ga:appId,App ID,dimension,string
ga:screenName,Screen Name,dimension,string
ga:screenDepth,Screen Depth,dimension,string
ga:landingScreenName,Landing Screen,dimension,string
ga:exitScreenName,Exit Screen,dimension,string
ga:screenviews,Screen Views,metric,integer
